,PokeIn,PokeOut,Reward,Side,SideHigh,Protocollo,Stim,Wall,ProbVec0,ProbVec1,GamVec0,GamVec1,delta
0,19.858,20.514,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
1,22.126,23.07,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
2,27.029,27.742,1.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
3,28.706,29.281,1.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
4,30.171,30.756,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
5,31.551,32.118,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
6,33.277,33.78,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
7,34.52,35.166,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
8,35.78,36.316,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
9,40.042,40.552,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
10,41.22,42.014,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
11,42.835,43.441,1.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
12,44.337,44.86,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
13,45.447,45.996,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
14,46.938,47.543,1.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
15,48.193,48.796,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
16,49.918,50.305,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
17,50.917,51.389,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
18,52.672,53.265,0.0,1.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
19,53.932,54.505,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
20,55.088,55.706,0.0,1.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
21,56.781,57.237,0.0,0.0,0.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
22,58.384,58.793,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
23,59.399,59.9,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
24,60.677,60.915,0.0,0.0,1.0,0.0,0.0,1.0,30.0,90.0,30.0,90.0,0.0
25,62.09,62.661,1.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
26,63.546,63.88,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
27,64.671,65.116,1.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
28,65.765,66.361,1.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
29,66.905,67.462,0.0,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
30,68.057,68.526,0.0,1.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
31,70.27,70.797,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
32,71.321,71.866,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
33,72.733,73.048,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
34,73.729,74.16,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
35,74.788,75.19,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
36,75.755,76.083,0.0,0.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,90.0,0.0
